Major,Degree Type,Early Career Pay,Mid Career Pay
Art,Bachelors,49500,73900
Social & Criminal Justice,Bachelors,49900,73900
Consumer Affairs,Bachelors,57200,73800
Family & Consumer Science,Bachelors,49400,73800
Network Technology,Bachelors,63500,73700
Photography,Bachelors,49600,73600
Video Production,Bachelors,48600,73600
International Trade,Bachelors,54100,73400
Horticulture & Agronomy,Bachelors,58900,73200
Missions,Bachelors,45400,73200
General Studies,Bachelors,49600,73100
Health Services Administration,Bachelors,49000,73100
Justice Studies,Bachelors,51500,73000
Culinary Arts,Bachelors,44600,72800
Physical Therapist Assistant Studies,Bachelors,55100,72800
English Teacher Education,Bachelors,48800,72600
Exercise & Sports Science,Bachelors,48000,72600
Health & Exercise Science,Bachelors,46900,72600
Recreation & Leisure Studies,Bachelors,47100,72600
Sports Administration,Bachelors,49700,72600
Graphic Arts,Bachelors,48000,72400
Supervision & Management,Bachelors,48000,72100
Secondary English Teacher Education,Bachelors,49800,72100
Exercise Science,Bachelors,47300,72000
Interior Design & Merchandising,Bachelors,50200,72000
Health & Wellness,Bachelors,45500,71900
Restaurant & Food Service Management,Bachelors,50100,71800
Behavioral Science,Bachelors,49800,71700
Culinary Arts & Food Service Management,Bachelors,48300,71700
Event Management,Bachelors,48200,71700
Theology,Bachelors,49600,71700
Wildlife Management,Bachelors,44500,71600
Health & Physical Education Teaching,Bachelors,44000,71500
Ministry,Bachelors,41500,71500
Mortuary Science,Bachelors,48800,71500
Media Production,Bachelors,49000,71200
Communicative Disorders,Bachelors,53300,71000
Health Services Management,Bachelors,47400,71000
Paralegal Studies,Bachelors,45200,70800
Social Science Teacher Education,Bachelors,51000,70800
Recreation Administration,Bachelors,54200,70600
Rehabilitation Counseling,Bachelors,44100,70600
Audio Production,Bachelors,49800,70500
Radio Broadcasting,Bachelors,51000,70500
Community Health,Bachelors,52500,70300
Drawing,Bachelors,43400,70100
Dance,Bachelors,50600,69900
Music Teacher Education,Bachelors,47700,69800
Gender Studies,Bachelors,51200,69700
Photojournalism,Bachelors,46800,69700
Family & Community Services,Bachelors,48400,69600
Conservation Biology,Bachelors,48100,69500
Drawing & Painting,Bachelors,48900,69500
Organizational Administration,Bachelors,51100,69400
Vocal Performance,Bachelors,48400,69400
Clinical Social Work (CSW),Bachelors,48600,69200
Tourism & Travel,Bachelors,45200,69200
Tourism Management,Bachelors,48900,69200
Wildlife Biology,Bachelors,48200,68900
Teaching English as a Second Language (ESL),Bachelors,48800,68800
Parks & Recreation Management,Bachelors,49000,68700
Social Services,Bachelors,44800,68500
Elementary Special Education,Bachelors,51200,68300
Ceramics,Bachelors,49500,68000
Horticulture,Bachelors,48400,68000
Landscape Design,Bachelors,57100,68000
Rehabilitation Services,Bachelors,41300,67600
Speech & Hearing,Bachelors,51400,67600
Sculpture,Bachelors,44700,67200
Health Promotion,Bachelors,47700,67000
Athletic Training,Bachelors,47700,66900
Family Studies,Bachelors,45000,66800
History Teacher Education,Bachelors,51800,66700
Social Studies Teacher Education,Bachelors,49200,66700
Biblical Studies & Practical Ministries,Bachelors,45400,66600
Communication Sciences & Disorders,Bachelors,49900,66500
Emergency Medical Services (EMS),Bachelors,47300,66300
Deaf Studies,Bachelors,43700,66100
Community Health Education,Bachelors,48600,65800
Musical Theatre,Bachelors,50000,65500
Pastoral Ministry,Bachelors,43500,65200
Bible Studies & Theology,Bachelors,44800,65100
Biblical Studies,Bachelors,47000,65000
Christian Ministry,Bachelors,43000,64500
Human Development & Family Studies,Bachelors,45400,64400
Church Ministries,Bachelors,43600,64300
Community Development,Bachelors,50300,63600
Music Therapy,Bachelors,48500,63500
Voice & Opera,Bachelors,38700,63200
Legal Assistant Studies,Bachelors,42000,63000
Health and Human Services,Bachelors,48800,62900
Home Economics,Bachelors,47700,62800
Special Education,Bachelors,46400,62700
Conflict Resolution,Bachelors,52000,62100
Educational Psychology,Bachelors,45900,61800
Developmental Psychology,Bachelors,42900,61800
Youth Ministry,Bachelors,42800,61700
Therapeutic Recreation,Bachelors,44900,61500
Community & Human Services,Bachelors,48100,61300
Social Work (SW),Bachelors,43300,61300
Elementary Education,Bachelors,45800,60700
Office Administration,Bachelors,43400,60500
Christian Education,Bachelors,45300,60300
Counseling,Bachelors,45100,59600
Human Services (HS),Bachelors,44400,59600
Health & Human Performance,Bachelors,43000,58900
Mental Health Counseling,Bachelors,40600,58500
Middle School Education,Bachelors,47200,58500
Child Development,Bachelors,42200,57900
Recreational Therapy,Bachelors,44900,57200
Early Childhood & Elementary Education,Bachelors,43400,56500
Outdoor Education,Bachelors,42200,55200
Baking & Pastry Arts,Bachelors,42400,54900
Mental Health,Bachelors,42700,52900
Child & Family Studies,Bachelors,41600,52700
Equine Studies,Bachelors,40300,52500
Addictions Counseling,Bachelors,45900,52200
Nonprofit Administration,Bachelors,42800,52100
Early Childhood Education,Bachelors,41700,50600
Metalsmithing,Bachelors,44700,44900
