Major,Degree Type,Early Career Pay,Mid Career Pay
Food Marketing,Bachelors,65000,119300
Geophysics,Bachelors,62700,119300
Management & Finance,Bachelors,64100,118800
Business Finance,Bachelors,65200,118600
Construction Engineering,Bachelors,75700,118600
Organic Chemistry,Bachelors,50600,118600
Real Estate,Bachelors,69400,118500
Finance,Bachelors,68500,118400
Plastics Engineering Technology,Bachelors,73600,118400
European Studies,Bachelors,60900,118100
Safety Science,Bachelors,70000,118100
Computer Science & Information Technology,Bachelors,73500,118000
Japanese Language,Bachelors,59900,117900
Information Sciences and Technology,Bachelors,72900,117800
International Business,Bachelors,63100,117800
Architectural Engineering,Bachelors,74600,117700
International Marketing,Bachelors,66700,117600
Molecular Biology,Bachelors,61700,117600
Building Construction Management,Bachelors,70500,117500
Business Operations,Bachelors,71300,117400
Computer Information Systems (CIS),Bachelors,69400,117300
Electrical Engineering Technology (EET),Bachelors,74000,117300
Government & International Politics (GVIP),Bachelors,58100,117200
Information Security,Bachelors,75000,117100
East Asian Studies,Bachelors,57500,116900
Strategic Management,Bachelors,74900,116700
Labor Relations,Bachelors,55700,116600
Entrepreneurship & Leadership,Bachelors,64300,116400
Agricultural Engineering (AE),Bachelors,71500,116300
Information Technology Management,Bachelors,71900,116100
International Relations,Bachelors,60500,116100
Financial Planning,Bachelors,61200,115800
Computer Engineering Technology (CET),Bachelors,71100,115700
Corporate Finance,Bachelors,72400,115700
Engineering Science,Bachelors,77500,115600
European History,Bachelors,59400,115500
Rhetoric,Bachelors,59300,114900
Network Engineering,Bachelors,69400,114600
Mechanical Design,Bachelors,68400,114500
Environmental Engineering,Bachelors,70400,114400
Chinese Language,Bachelors,61000,114000
Robotics,Bachelors,87900,114000
Economics & Management,Bachelors,61500,113800
Computing,Bachelors,71300,113600
Product Design,Bachelors,70000,113600
Mechanical Engineering Technology (MET),Bachelors,72300,113200
Industrial & Labor Relations,Bachelors,77000,113000
Food Science & Technology,Bachelors,59800,112800
Accounting & Auditing,Bachelors,65400,112700
Biochemistry (BCH),Bachelors,57100,112600
Accounting & Finance,Bachelors,66900,112500
Agricultural Economics & Business,Bachelors,62100,112500
Engineering Technology (ET),Bachelors,65800,112500
Biotechnology,Bachelors,61100,112500
Dairy Science,Bachelors,57700,112200
Operations Management (OM),Bachelors,69700,112200
Web Development,Bachelors,61600,112200
Industrial Management,Bachelors,65200,111900
Information Assurance,Bachelors,61600,111900
Telecommunication & Information Management,Bachelors,66800,111900
Environmental Policy Analysis & Planning,Bachelors,58200,111600
Pharmaceutical Sciences (PS),Bachelors,60900,111600
Aviation,Bachelors,65000,111400
Business & Marketing,Bachelors,59000,111400
Computer Networking Systems,Bachelors,64000,111400
Organizational Behavior,Bachelors,63500,111400
Consumer Economics,Bachelors,60600,111300
Information Technology (IT),Bachelors,67800,111300
Sales & Business Marketing,Bachelors,63900,111300
Aviation Management,Bachelors,58000,111200
Informatics,Bachelors,78700,111200
Industrial Safety,Bachelors,59400,111100
Structural Design & Construction Engineering Technology,Bachelors,77000,111100
Computer Security,Bachelors,76500,110800
Hotel Administration,Bachelors,76800,110800
Software Applications & Programming,Bachelors,71400,110800
Occupational Health and Safety,Bachelors,66800,110700
Database Management,Bachelors,74500,110600
Business Technology Management,Bachelors,69600,110400
Production Management,Bachelors,55800,110400
Business & Finance,Bachelors,63600,109800
Environmental Health & Safety,Bachelors,64800,109600
Information Technology (IT) & Systems,Bachelors,70400,109600
Telecommunications Management,Bachelors,60600,109600
Electronics Engineering Technology (EET),Bachelors,72600,109300
Marketing & Management,Bachelors,57700,109300
Operations & Supply Chain Management,Bachelors,69300,109300
Physical Therapy,Bachelors,54900,109300
Politics,Bachelors,59500,109300
Physics & Astronomy,Bachelors,63700,109200
Agribusiness,Bachelors,57600,109000
Chemistry,Bachelors,58500,109000
Finance & Banking,Bachelors,62600,109000
Aviation Flight Science (AFL),Bachelors,61500,108800
Construction Science & Management,Bachelors,73800,108600
Marketing,Bachelors,58200,108400
Cell Biology,Bachelors,56800,108100
Civil Engineering Technology (CET),Bachelors,66000,108100
Genetics,Bachelors,61200,108100
Government & Politics,Bachelors,59500,107800
Biopsychology,Bachelors,60300,107500
Applied Networking & Systems Administration,Bachelors,67200,107500
Industrial Technology (IT),Bachelors,71700,107400
Geological Engineering,Bachelors,68400,107200
Real Estate Development,Bachelors,66600,107200
Accounts,Bachelors,67100,107100
Electromechanical Engineering,Bachelors,79100,107100
Risk Management,Bachelors,68500,107000
Social Ecology,Bachelors,55400,107000
Microbiology & Immunology,Bachelors,63500,106800
French Literature,Bachelors,53900,106600
City & Regional Planning,Bachelors,58600,106500
Construction Technology,Bachelors,71500,106500
Italian Language,Bachelors,56600,106500
Marketing Communication,Bachelors,52200,106500
Business Management & Marketing,Bachelors,56900,106400
Industrial Design (ID),Bachelors,62900,106400
Marketing & Communications,Bachelors,56400,106300
Political Science,Bachelors,57700,106200
Advertising Design,Bachelors,58000,106100
Manufacturing Management,Bachelors,72300,106100
Computer Information Systems,Bachelors,65100,106000
Network Security,Bachelors,68000,106000
Risk Management & Insurance,Bachelors,67400,106000
Comparative Literature,Bachelors,53600,105800
Sales & Marketing,Bachelors,61100,105800
Welding Engineering Technology,Bachelors,82700,105600
Philosophy,Bachelors,60500,105500
Networks & Telecommunications,Bachelors,61600,105500
Business Data Analysis,Bachelors,72600,105500
Environmental Science & Policy,Bachelors,56600,105400
German Language,Bachelors,59000,105400
Japanese Studies,Bachelors,58000,105400
Atmospheric Science,Bachelors,55700,105200
Business Psychology,Bachelors,58000,105200
Digital Design,Bachelors,56400,105200
International Development Studies,Bachelors,53700,105200
Accounting,Bachelors,62100,105100
Spanish Literature,Bachelors,57900,105000
Technical Communication,Bachelors,55600,105000
Computer Programming,Bachelors,67000,104800
Architecture,Bachelors,58000,104500
Project Management,Bachelors,64400,104500
Hotel Management,Bachelors,55900,104200
Music Production & Engineering,Bachelors,53400,104200
Urban Planning,Bachelors,56100,104200
Cell & Molecular Biology,Bachelors,58100,104000
Safety Management,Bachelors,67500,104000
Manufacturing Engineering Technology,Bachelors,74900,103500
Advertising,Bachelors,53500,103400
Marketing Management,Bachelors,58700,103300
Insurance,Bachelors,63400,103300
Occupational Therapy (OT),Bachelors,60700,103200
Applied Computer Science,Bachelors,74000,103000
Geology,Bachelors,56000,102800
Meteorology,Bachelors,53100,102800
Electronic Systems Technology (EST),Bachelors,86900,102600
Environmental Design,Bachelors,54000,102600
Radiation Therapy,Bachelors,76100,102600
Latin American Studies,Bachelors,53200,102500
Logistics,Bachelors,66400,102500
Transportation & Logistics Management,Bachelors,65800,102500
Applied Technology,Bachelors,65500,102300
Environmental Health,Bachelors,56900,102200
Design,Bachelors,60500,102000
Computer Graphics Technology (CGT),Bachelors,55100,101800
Crop Science,Bachelors,54700,101800
Industrial Psychology,Bachelors,56400,101500
Entrepreneurship,Bachelors,61500,101300
German Studies,Bachelors,57500,101300
Neuroscience,Bachelors,58900,101300
Computer & Network Administration,Bachelors,64500,101200
Financial Accounting,Bachelors,63500,101200
Food Science,Bachelors,60400,101200
Microbiology,Bachelors,54800,101200
Digital Media Design,Bachelors,52200,101000
Agronomy,Bachelors,55200,101000
Accounting & Management,Bachelors,62600,100600
Aeronautics,Bachelors,69600,100600
Business Communication,Bachelors,57900,100600
Urban & Regional Planning,Bachelors,59600,100500
Global Business Management,Bachelors,63800,100100
Police Science,Bachelors,61500,100100
Math & Science,Bachelors,63900,100000
Corporate Communications,Bachelors,54700,99900
Political Science/Public Law,Bachelors,59200,99800
Accounting Information Systems,Bachelors,70900,99700
Anthropology & English,Bachelors,53800,99700
